"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 0.000000e+00",5.54844067911721,0.891,0.057," 0.000000e+00","0","Mag"
" 0.000000e+00",5.13846384583989,0.911,0.096," 0.000000e+00","0","Cldn11"
" 0.000000e+00",5.97760695056471,0.846,0.04," 0.000000e+00","0","Mog"
" 0.000000e+00",4.78539548785162,0.88,0.092," 0.000000e+00","0","Neat1"
" 0.000000e+00",4.3330789048197,0.818,0.056," 0.000000e+00","0","Gjc3"
" 0.000000e+00",4.91369132742198,0.879,0.119," 0.000000e+00","0","Mal"
" 0.000000e+00",5.95362717187993,0.79,0.03," 0.000000e+00","0","Aspa"
" 0.000000e+00",5.06283234411316,0.998,0.248," 0.000000e+00","0","Mbp"
" 0.000000e+00",4.59120766462763,0.846,0.101," 0.000000e+00","0","Gatm"
" 0.000000e+00",4.14074713246352,0.822,0.121," 0.000000e+00","0","Apod"
" 0.000000e+00",4.60278140408922,0.774,0.093," 0.000000e+00","0","Car2"
" 0.000000e+00",5.43286332764983,0.692,0.041," 0.000000e+00","0","Mobp"
" 0.000000e+00",5.01297509946406,0.697,0.053," 0.000000e+00","0","Ugt8a"
" 0.000000e+00",4.2104441222137,0.763,0.133," 0.000000e+00","0","Kctd13"
" 0.000000e+00",3.44171917063788,0.91,0.282," 0.000000e+00","0","Enpp2"
" 0.000000e+00",5.30700677410355,1,0.408," 0.000000e+00","0","Plp1"
" 0.000000e+00",6.67732268824763,0.588,0.013," 0.000000e+00","0","C030029H02Rik"
" 0.000000e+00",5.09846137684054,0.615,0.041," 0.000000e+00","0","Fa2h"
" 0.000000e+00",4.79281812880934,0.602,0.044," 0.000000e+00","0","Litaf"
" 0.000000e+00",6.10304785690224,0.568,0.019," 0.000000e+00","0","Hapln2"
" 0.000000e+00",5.3684394839733,0.583,0.034," 0.000000e+00","0","Plekhh1"
" 0.000000e+00",2.88895870465484,0.905,0.36," 0.000000e+00","0","Ptgds"
" 0.000000e+00",5.46520629085655,0.56,0.023," 0.000000e+00","0","1700047M11Rik"
